X,Y,codigo_oaci,nome,municipio,icon_url
-49.3030555555556,-8.34861111111111,SBAA,CONCEIÇÃO DO ARAGUAIA,CONCEIÇÃO DO ARAGUAIA,./0.png
-49.0683333333333,-22.1577777777778,SBAE,BAURU/AREALVA,BAURU E AREALVA,./0.png
-48.1402777777778,-21.8044444444444,SBAQ,BARTOLOMEU DE GUSMÃO,ARARAQUARA,./0.png
-37.0733333333333,-10.9852777777778,SBAR,SANTA MARIA,ARACAJU,./0.png
-56.105,-9.86638888888889,SBAT,PILOTO OSVALDO MARQUES DIAS,ALTA FLORESTA,./0.png
-50.4263888888889,-21.1441666666667,SBAU,ESTADUAL DARIO GUARITA,ARAÇATUBA,./0.png
-46.9655555555556,-19.5605555555556,SBAX,ROMEU ZEMA,ARAXÁ,./0.png
-48.4788888888889,-1.38472222222222,SBBE,INTERNACIONAL DE BELÉM/VAL DE CANS/JÚLIO CEZAR RIBEIRO,BELÉM,./0.png
-54.1097222222222,-31.3908333333333,SBBG,COMANDANTE GUSTAVO KRAEMER,BAGÉ,./0.png
-43.9505555555556,-19.8519444444444,SBBH,PAMPULHA - CARLOS DRUMMOND DE ANDRADE,BELO HORIZONTE,./0.png
-49.2336111111111,-25.4033333333333,SBBI,BACACHERI,CURITIBA,./0.png
-46.5375,-22.9791666666667,SBBP,ESTADUAL ARTHUR SIQUEIRA,BRAGANÇA PAULISTA,./0.png
-47.9186111111111,-15.8711111111111,SBBR,PRESIDENTE JUSCELINO KUBITSCHEK,BRASÍLIA,./0.png
-49.0538888888889,-22.3436111111111,SBBU,BAURU,BAURU,./0.png
-60.6922222222222,2.84138888888889,SBBV,ATLAS BRASIL CANTANHEDE,BOA VISTA,./0.png
-52.3894444444444,-15.8608333333333,SBBW,BARRA DO GARÇAS,BARRA DO GARÇAS,./0.png
-53.5019444444444,-25.0022222222222,SBCA,CORONEL ADALBERTO MENDES DA SILVA,CASCAVEL,./0.png
-42.0713888888889,-22.9208333333333,SBCB,CABO FRIO,CABO FRIO,./0.png
-50.9397222222222,-26.7897222222222,SBCD,CARLOS ALBERTO DA COSTA NEVES,CAÇADOR,./0.png
-43.9719444444444,-19.6244444444444,SBCF,TANCREDO NEVES,CONFINS,./0.png
-54.6702777777778,-20.4694444444444,SBCG,CAMPO GRANDE,CAMPO GRANDE,./0.png
-52.6619444444444,-27.1338888888889,SBCH,SERAFIN ENOSS BERTASO,CHAPECÓ,./0.png
-47.4586111111111,-7.32055555555556,SBCI,BRIGADEIRO LYSIAS AUGUSTO RODRIGUES,CAROLINA,./0.png
-50.0013888888889,-6.11527777777778,SBCJ,CARAJÁS,PARAUAPEBAS,./0.png
-49.4213888888889,-28.7244444444444,SSIM,FORQUILHINHA/CRICIÚMA (SBCM*),FORQUILHINHA,./0.png
-48.61,-17.7247222222222,SBCN,NELSON RODRIGUES GUIMARÃES,CALDAS NOVAS,./0.png
-41.3077777777778,-21.7011111111111,SBCP,BARTOLOMEU LISANDRO,CAMPOS DOS GOYTACAZES,./0.png
-57.6713888888889,-19.0119444444444,SBCR,CORUMBÁ,CORUMBÁ,./0.png
-49.1761111111111,-25.5316666666667,SBCT,AFONSO PENA,CURITIBA,./0.png
-39.2544444444444,-17.6505555555556,SSCV,CARAVELAS,CARAVELAS,./0.png
-51.1897222222222,-29.1955555555556,SBCX,HUGO CANTERGIANI,CAXIAS DO SUL,./0.png
-56.1175,-15.65,SBCY,MARECHAL RONDON,VÁRZEA GRANDE,./0.png
-51.6763888888889,-19.1469444444444,SSCL,CASSILÂNDIA,CASSILÂNDIA,./0.png
-56.4525,-21.2472222222222,SBDB,BONITO,BONITO,./0.png
-51.4188888888889,-22.1783333333333,SBDN,PRESIDENTE PRUDENTE,PRESIDENTE PRUDENTE,./0.png
-54.9255555555556,-22.2005555555556,SBDO,DOURADOS,DOURADOS,./0.png
-60.0505555555556,-3.04111111111111,SBEG,EDUARDO GOMES,MANAUS,./0.png
